Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
HA,10/25/2019,0051,N388HA,HNL,10:00,09:57,660,645,-3,10:10,13,0,0,0,0,0
HA,10/25/2021,0051,N395HA,HNL,10:00,09:58,655,645,-2,10:11,13,0,0,0,0,0
HA,10/25/2022,0051,N375HA,HNL,10:00,13:26,660,635,206,13:44,18,181,0,0,0,0
HA,10/26/2017,0051,N399HA,HNL,10:00,09:55,655,649,-5,10:13,18,0,0,0,0,0
HA,10/26/2018,0051,N378HA,HNL,10:00,09:53,655,668,-7,10:15,22,0,0,0,0,0
HA,10/26/2019,0051,N383HA,HNL,10:00,10:06,660,652,6,10:21,15,0,0,0,0,0
HA,10/26/2021,0051,N385HA,HNL,10:00,10:46,655,649,46,10:59,13,40,0,0,0,0
HA,10/26/2022,0051,N379HA,HNL,10:00,10:01,660,668,1,10:28,27,0,0,0,0,0
HA,10/27/2017,0051,N374HA,HNL,10:00,09:58,655,647,-2,10:18,20,0,0,0,0,0
HA,10/27/2018,0051,N386HA,HNL,10:00,10:12,655,647,12,10:27,15,0,0,0,0,0
HA,10/27/2019,0051,N390HA,HNL,10:00,09:55,660,622,-5,10:07,12,0,0,0,0,0
HA,10/27/2022,0051,N388HA,HNL,10:00,10:06,660,647,6,10:32,26,0,0,0,0,0
HA,10/28/2017,0051,N384HA,HNL,10:00,09:54,655,631,-6,10:10,16,0,0,0,0,0
HA,10/28/2018,0051,N399HA,HNL,10:00,09:54,655,657,-6,10:12,18,0,0,0,0,0
HA,10/28/2019,0051,N375HA,HNL,10:00,09:55,660,650,-5,10:11,16,0,0,0,0,0
HA,10/28/2021,0051,N382HA,HNL,10:00,10:06,655,679,6,10:31,25,30,0,0,0,0
HA,10/28/2022,0051,N395HA,HNL,10:00,10:12,660,659,12,10:31,19,0,0,0,0,0
HA,10/29/2017,0051,N370HA,HNL,10:00,09:56,655,627,-4,10:16,20,0,0,0,0,0
HA,10/29/2018,0051,N373HA,HNL,10:00,09:51,655,663,-9,10:11,20,0,0,0,0,0
HA,10/29/2019,0051,N399HA,HNL,10:00,09:52,660,676,-8,10:11,19,0,0,0,0,0
HA,10/29/2021,0051,N378HA,HNL,10:00,09:58,655,666,-2,10:17,19,0,0,0,0,0
HA,10/29/2022,0051,N370HA,HNL,10:00,09:58,660,640,-2,10:17,19,0,0,0,0,0
HA,10/30/2017,0051,N384HA,HNL,10:00,10:19,655,623,19,10:37,18,0,0,0,0,0
HA,10/30/2018,0051,N392HA,HNL,10:00,09:52,655,663,-8,10:10,18,0,0,0,0,0
HA,10/30/2019,0051,N383HA,HNL,10:00,09:54,660,674,-6,10:19,25,0,0,0,0,0
HA,10/30/2021,0051,N396HA,HNL,10:00,09:56,655,655,-4,10:09,13,0,0,0,0,0
HA,10/30/2022,0051,N379HA,HNL,10:00,10:30,660,653,30,10:47,17,0,0,0,0,23
HA,10/31/2017,0051,N388HA,HNL,10:00,09:48,655,635,-12,10:01,13,0,0,0,0,0
HA,10/31/2018,0051,N390HA,HNL,10:00,09:54,655,648,-6,10:09,15,0,0,0,0,0
HA,10/31/2019,0051,N375HA,HNL,10:00,09:55,660,661,-5,10:09,14,0,0,0,0,0
HA,10/31/2021,0051,N379HA,HNL,10:00,10:07,655,671,7,10:29,22,23,0,0,0,0
HA,10/31/2022,0051,N361HA,HNL,10:00,10:10,660,632,10,10:29,19,0,0,0,0,0
HA,11-01-2017,0051,N388HA,HNL,10:00,09:58,655,650,-2,10:21,23,0,0,0,0,0
HA,11-01-2018,0051,N373HA,HNL,10:00,09:56,655,635,-4,10:18,22,0,0,0,0,0
HA,11-01-2019,0051,N360HA,HNL,10:00,10:00,660,688,0,10:15,15,28,0,0,0,0
HA,11-01-2021,0051,N374HA,HNL,10:00,09:57,655,667,-3,10:14,17,0,0,0,0,0
HA,11-01-2022,0051,N385HA,HNL,10:00,10:01,660,643,1,10:23,22,0,0,0,0,0
HA,11-02-2017,0051,N360HA,HNL,10:00,09:59,655,660,-1,10:33,34,0,0,0,0,0
HA,11-02-2018,0051,N378HA,HNL,10:00,09:55,655,660,-5,10:25,30,0,0,0,0,0
HA,11-02-2019,0051,N378HA,HNL,10:00,09:53,660,675,-7,10:10,17,0,0,0,0,0
HA,11-02-2021,0051,N396HA,HNL,10:00,09:53,655,657,-7,10:11,18,0,0,0,0,0
HA,11-02-2022,0051,N390HA,HNL,10:00,10:06,660,642,6,10:27,21,0,0,0,0,0
HA,11-03-2017,0051,N386HA,HNL,10:00,09:52,655,661,-8,10:11,19,0,0,0,0,0
HA,11-03-2018,0051,N396HA,HNL,10:00,10:27,655,626,27,10:42,15,0,0,0,0,0
HA,11-03-2019,0051,N386HA,HNL,10:00,09:58,675,665,-2,10:11,13,0,0,0,0,0
HA,11-03-2022,0051,N395HA,HNL,10:00,10:06,660,648,6,10:28,22,0,0,0,0,0
HA,11-04-2017,0051,N391HA,HNL,10:00,10:01,655,649,1,10:18,17,0,0,0,0,0
HA,11-04-2018,0051,N390HA,HNL,10:00,09:56,675,650,-4,10:09,13,0,0,0,0,0
HA,11-04-2019,0051,N393HA,HNL,10:00,10:00,675,670,0,10:19,19,0,0,0,0,0
HA,11-04-2021,0051,N395HA,HNL,10:00,09:57,655,671,-3,10:17,20,0,0,0,0,0
HA,11-04-2022,0051,N361HA,HNL,10:00,10:10,660,693,10,10:45,35,43,0,0,0,0
HA,11-05-2017,0051,N391HA,HNL,10:00,10:21,670,659,21,10:40,19,0,0,0,0,0
HA,11-05-2018,0051,N360HA,HNL,10:00,10:01,675,651,1,10:24,23,0,0,0,0,0
HA,11-05-2019,0051,N378HA,HNL,10:00,09:55,675,696,-5,10:15,20,16,0,0,0,0
HA,11-05-2021,0051,N378HA,HNL,10:00,09:58,655,668,-2,10:17,19,0,0,0,0,0
HA,11-05-2022,0051,N382HA,HNL,10:00,09:55,660,663,-5,10:23,28,0,0,0,0,0
HA,11-06-2017,0051,N389HA,HNL,10:00,09:56,670,676,-4,10:18,22,0,0,0,0,0
HA,11-06-2018,0051,N392HA,HNL,10:00,10:04,675,651,4,10:21,17,0,0,0,0,0
HA,11-06-2019,0051,N389HA,HNL,10:00,09:56,675,669,-4,10:14,18,0,0,0,0,0
HA,11-06-2021,0051,N384HA,HNL,10:00,09:59,655,649,-1,10:15,16,0,0,0,0,0
HA,11-06-2022,0051,N382HA,HNL,10:00,10:53,665,687,53,11:23,30,22,0,53,0,0
HA,11-07-2018,0051,N395HA,HNL,10:00,09:59,675,682,-1,10:15,16,0,0,0,0,0
HA,11-07-2019,0051,N385HA,HNL,10:00,09:52,675,668,-8,10:11,19,0,0,0,0,0
HA,11-07-2021,0051,N383HA,HNL,10:00,09:54,670,659,-6,10:17,23,0,0,0,0,0
HA,11-07-2022,0051,N382HA,HNL,10:00,11:18,665,656,78,11:37,19,0,0,0,0,69
HA,11-08-2017,0051,N373HA,HNL,10:00,09:54,670,660,-6,10:09,15,0,0,0,0,0
HA,11-08-2018,0051,N391HA,HNL,10:00,09:59,675,684,-1,10:18,19,0,0,0,0,0
HA,11-08-2019,0051,N378HA,HNL,10:00,09:53,675,0,-7,10:12,19,0,0,0,0,0
HA,11-08-2021,0051,N378HA,HNL,10:00,09:53,670,672,-7,10:10,17,0,0,0,0,0
HA,11-08-2022,0051,N384HA,HNL,10:00,16:12,665,641,372,16:28,16,0,0,0,0,348
HA,11-09-2017,0051,N395HA,HNL,10:00,09:58,670,700,-2,10:18,20,28,0,0,0,0
HA,11-09-2018,0051,N383HA,HNL,10:00,09:53,675,680,-7,10:16,23,0,0,0,0,0
HA,11-09-2019,0051,N393HA,HNL,10:00,09:57,675,678,-3,10:21,24,0,0,0,0,0
HA,11-09-2021,0051,N370HA,HNL,10:00,09:57,670,672,-3,10:11,14,0,0,0,0,0
HA,11-09-2022,0051,N399HA,HNL,10:00,09:50,665,640,-10,10:10,20,0,0,0,0,0
HA,11-10-2017,0051,N370HA,HNL,10:00,09:53,670,698,-7,10:17,24,21,0,0,0,0
HA,11-10-2018,0051,N360HA,HNL,10:00,09:56,675,686,-4,10:13,17,0,0,0,0,0
HA,11-10-2019,0051,N385HA,HNL,10:00,09:55,675,663,-5,10:09,14,0,0,0,0,0
HA,11-10-2021,0051,N374HA,HNL,10:00,10:07,670,679,7,10:26,19,16,0,0,0,0
HA,11-10-2022,0051,N399HA,HNL,10:00,10:17,665,662,17,10:40,23,0,0,0,0,0
